"","mac","mae_scaled","within_50","within_95"
"1",6.53275,0.504898463974376,0.68,0.93
"2",0.986,0.604131088114513,0.77,0.99
"3",1.371,0.619877003181216,0.64,1
"4",3.489125,0.629012967861807,0.62,0.98
"5",0.852125,0.620635946500678,0.77,1
"6",0.61475,0.517189588841498,0.82,1
"7",1.097625,0.566494699675581,0.78,0.99
"8",1.070125,0.63310650258972,0.71,0.99
"9",2.181,0.558093416626122,0.74,0.97
"10",0.89125,0.560590447476709,0.76,0.98
"11",1.912625,0.514321510267491,0.76,0.97
"12",0.84275,0.527297292867078,0.74,0.98
"13",1.071625,0.536828837148636,0.73,0.99
"14",2.01925,0.675221328388762,0.6,0.99
"15",1.30325,0.574649145965969,0.73,0.99
"16",1.37575,0.623882313056379,0.77,1
"17",1.173875,0.526078256223656,0.78,1
"18",0.912,0.600309914796382,0.74,1
"19",3.10275,0.502318754842286,0.64,0.99
"20",1.02325,0.609113211314546,0.75,0.99
"21",0.824625,0.53081146881885,0.8,1
"22",1.481625,0.615195592299324,0.68,0.97
"23",0.962625,0.552308207069819,0.75,1
"24",3.5035,0.494750003587281,0.7,0.98
"25",7.048625,0.661099237416015,0.52,0.98
"26",1.0305,0.583769512811223,0.76,0.99
"27",1.0135,0.500373905978745,0.71,0.99
"28",2.270125,0.602188189640098,0.73,0.98
"29",0.926125,0.527665130776808,0.71,1
"30",3.55125,0.607727665785122,0.65,0.99
"31",0.83325,0.575863286054148,0.75,1
"32",1.047,0.572529591097798,0.75,0.99
"33",0.822875,0.496578817235098,0.78,0.99
"34",3.054,0.690857163066055,0.61,0.99
"35",0.710125,0.463666151438276,0.82,1
"36",0.832125,0.578268518198076,0.79,1
"37",1.297,0.554445578935494,0.8,1
"38",1.098375,0.597435658045038,0.78,0.99
"39",1.593625,0.552845968186821,0.7,0.99
"40",1.365875,0.572205098566085,0.68,0.99
"41",1.314625,0.510638477235654,0.79,0.99
"42",2.28775,0.577165521922721,0.7,1
"43",1.057375,0.487667963496485,0.78,0.99
"44",1.226625,0.613991782227229,0.71,1
"45",0.82275,0.519812197681325,0.69,1
"46",0.901,0.565134644743176,0.8,0.98
"47",2.647625,0.712633748827525,0.65,0.99
"48",0.994375,0.603729131417055,0.75,1
"49",3.222625,0.683417519071854,0.59,1
"50",2.189125,0.49023908601647,0.75,0.95
"51",20.664,0.512027878085884,0.67,0.93
"52",0.860875,0.541202018695515,0.77,0.99
"53",1.1555,0.610213744801639,0.74,0.99
"54",0.946625,0.606915188693987,0.76,0.99
"55",1.015125,0.560166282364654,0.74,0.99
"56",1.896625,0.59358048489842,0.67,0.99
