"","mac","mae_scaled","within_50","within_95"
"1",0.69075,NA,0.73,0.99
"2",0.61525,0.6043804820208,0.82,0.98
"3",0.677625,0.615511740291419,0.75,1
"4",0.48875,0.510305299576395,0.83,0.99
"5",0.604,0.560709432972783,0.77,0.99
"6",0.784,0.67930227703525,0.76,0.98
"7",0.691375,0.638927980867631,0.76,0.96
"8",0.732125,0.862850165254425,0.82,0.99
"9",0.608625,0.571183520313644,0.78,0.98
"10",0.74175,0.61665654074334,0.81,1
"11",0.64425,0.58033001345351,0.76,0.99
"12",0.837125,0.668202443491234,0.76,0.97
"13",0.70875,0.563119937852601,0.75,1
"14",0.659125,0.653680887070865,0.79,1
"15",0.896625,0.748902125682539,0.67,0.99
"16",0.84875,0.854568359745632,0.88,0.95
"17",0.573875,0.592425544535115,0.75,0.99
"18",0.804875,0.654509579571556,0.78,0.98
"19",0.692,0.680614175062469,0.7,0.99
"20",0.693625,0.597764482175836,0.76,0.97
"21",0.63325,0.640355129377757,0.77,0.98
"22",0.597375,0.590752612635957,0.78,1
"23",0.647625,0.644943095676337,0.82,0.99
"24",0.6895,0.695681925347874,0.75,0.97
"25",0.64525,0.549143402970718,0.77,0.97
"26",0.58375,0.591574145825643,0.79,1
"27",0.61425,0.604100816876844,0.78,0.98
"28",0.826125,0.726324859075598,0.76,0.99
"29",0.694125,0.614779253799451,0.74,0.98
"30",0.72325,0.679865334678031,0.77,0.96
"31",0.737875,0.557773267665414,0.77,0.99
"32",0.72175,0.607989595922824,0.75,0.98
"33",0.584,0.541592613993462,0.79,0.98
"34",0.864125,0.694334633250239,0.68,0.99
"35",0.803875,0.723527898503009,0.73,1
"36",0.475375,0.452625239402392,0.78,0.99
"37",0.712625,0.599573026566951,0.72,0.98
"38",0.620125,0.513197336742263,0.78,0.98
"39",0.65975,0.560931972857094,0.77,0.95
"40",0.6515,0.595471356153701,0.79,0.99
"41",0.585625,0.594177361956953,0.76,1
"42",0.750375,0.684776808697318,0.73,0.97
"43",0.705875,0.707364788963935,0.74,0.99
"44",0.635375,0.657834504318228,0.76,0.97
"45",0.662625,0.610794547543951,0.75,0.98
"46",0.833875,0.741256292461573,0.75,1
"47",0.5245,0.463345877987364,0.8,0.99
"48",0.714,0.574016121951185,0.74,0.99
"49",0.88075,0.768486716684682,0.71,0.98
"50",0.640625,0.630850539307141,0.78,0.99
"51",0.813875,0.728462462806445,0.73,0.98
"52",0.685125,0.658546981241469,0.77,0.99
"53",0.699125,0.590735793971765,0.77,0.99
"54",0.71825,0.600128611833,0.74,0.99
"55",0.913375,0.921640401990963,0.85,0.95
"56",0.7085,0.639100659349155,0.73,0.99
"57",0.620375,0.613673897072884,0.81,0.99
"58",0.75325,0.826092028841057,0.75,0.98
"59",0.6895,0.599379269621059,0.75,0.99
"60",0.82675,0.772819362276455,0.75,1
"61",0.629,0.586324087112527,0.73,0.99
"62",0.4665,0.490492650358505,0.82,0.98
"63",0.777375,0.698372164285985,0.74,0.99
"64",0.7535,0.712215657561898,0.72,0.96
"65",0.722625,0.677771924313652,0.77,1
"66",0.6985,0.632576381011894,0.75,0.98
"67",0.458125,0.418736999895456,0.8,1
"68",0.69725,0.607951948965336,0.76,0.98
"69",0.65175,NA,0.79,0.99
"70",0.740375,0.665970771681952,0.76,0.99
"71",0.7735,NA,0.7,0.95
"72",0.74675,0.651596446233279,0.74,0.97
"73",0.70525,0.608844050472775,0.76,0.99
"74",0.630875,0.566806582571791,0.74,1
"75",0.66275,0.629500800009331,0.78,0.97
"76",0.5585,0.680354189703039,0.82,0.98
"77",0.69,0.718539962983853,0.72,0.99
"78",0.6155,0.543669223430992,0.81,1
"79",0.709,0.742577327274988,0.75,0.99
"80",0.767,0.598085683324361,0.74,0.97
"81",0.51775,0.511557426293513,0.81,0.99
"82",0.704375,0.665753964480361,0.75,0.98
"83",0.66225,0.591375625937429,0.77,0.98
"84",0.634875,0.679685820748147,0.84,0.97
"85",0.5645,0.545692646858647,0.76,0.98
"86",0.622625,0.563704934511615,0.76,0.98
"87",0.736125,0.648610280261903,0.8,0.99
"88",0.848,0.741893415600919,0.74,0.98
"89",0.499,0.525859564455186,0.76,0.98
"90",0.78925,0.756660181785499,0.78,0.98
"91",0.7465,0.675098767275087,0.79,0.96
"92",0.72125,0.618913611500451,0.77,0.99
"93",0.57175,0.538116109184115,0.81,0.97
"94",0.646,0.635409161286523,0.79,1
"95",0.705375,0.656577785782773,0.8,0.99
"96",0.605375,0.678624671491662,0.76,0.99
"97",0.632875,0.57680739406756,0.75,0.99
