"","mac","mae_scaled","within_50","within_95"
"1",0.552125,0.63271601598465,0.89,0.99
"2",0.685,0.657434870307579,0.86,0.99
"3",0.739875,0.769727451384949,0.83,1
"4",0.632,0.668494151117141,0.84,0.98
"5",0.79025,0.789183857190936,0.81,1
"6",0.761375,0.759961384357706,0.86,0.99
"7",0.4685,0.608332414330906,0.87,1
"8",0.520125,0.640598238150594,0.91,1
"9",0.5495,0.665224173049444,0.86,1
"10",0.85,0.784756467027066,0.79,1
"11",0.7545,0.723454211425717,0.81,1
"12",0.539375,0.647125116078005,0.86,0.99
"13",0.503375,0.609484964591269,0.91,0.98
"14",0.679375,0.682676841375983,0.86,1
"15",0.666,0.704201518106004,0.83,1
"16",0.884875,0.8236547517389,0.85,1
"17",0.827625,0.772295975284749,0.82,1
"18",0.56275,0.642585600280074,0.88,0.99
"19",0.505125,0.606818840160892,0.86,0.99
"20",0.793625,0.768899416493339,0.78,1
"21",0.539375,0.660669122524486,0.88,1
"22",0.569,0.674079772964054,0.91,1
"23",0.66975,0.728062133274492,0.86,1
"24",0.549,0.650708995646731,0.88,1
"25",0.788,0.764198532000286,0.81,0.99
"26",0.75025,0.749172918805645,0.81,1
"27",0.65425,0.681022287187282,0.85,0.99
"28",0.53075,0.654908206578524,0.91,1
"29",0.654375,0.7213777359834,0.86,1
"30",0.6655,0.714696359979069,0.84,1
"31",0.851875,0.778926741020421,0.82,1
"32",0.522,0.646905785511967,0.9,0.99
"33",0.49425,0.605953248001892,0.92,0.98
"34",0.77325,0.742157837622894,0.86,1
"35",0.515375,0.644016619287251,0.87,1
"36",0.734875,0.740511831481066,0.8,1
"37",0.647875,0.671402927786079,0.84,0.99
"38",0.520125,0.658764056309548,0.93,0.99
"39",0.482375,0.623984540341375,0.92,0.99
"40",0.502625,0.62182850667168,0.87,0.99
"41",0.871125,0.761843057436037,0.83,1
"42",0.571875,0.667407126172768,0.85,1
"43",0.479,0.616650069893674,0.88,1
"44",0.71075,0.710838309437178,0.83,0.98
"45",0.4925,0.623164562518811,0.89,0.99
"46",0.6765,0.740193323775067,0.85,0.99
"47",0.528875,0.659769198801492,0.88,1
"48",0.611375,0.731979652088269,0.86,1
"49",0.583875,0.652209132373105,0.86,0.99
"50",0.56875,0.674797258956431,0.86,1
"51",0.574375,0.670863434130199,0.86,1
"52",0.627625,0.684925476694966,0.81,1
"53",0.496625,0.641276330348392,0.91,1
"54",0.534375,0.663610941913043,0.89,0.99
"55",0.625875,0.681838407975941,0.86,0.99
"56",0.525375,0.622376778812083,0.88,0.99
"57",0.6885,0.707990136134204,0.8,1
"58",0.540875,0.633433481169125,0.88,1
"59",0.505125,0.65006838842421,0.92,1
"60",0.64325,0.700477833366265,0.83,1
"61",0.7095,0.748402122335738,0.85,0.99
"62",0.81275,0.771142286936489,0.83,0.99
"63",0.70375,0.686359879957724,0.89,1
"64",0.519625,0.653421178483118,0.89,1
"65",0.54875,0.703117854269491,0.88,1
"66",0.769875,0.763192069628789,0.79,1
"67",0.66475,0.734535548697742,0.87,0.99
"68",0.504375,0.642403037982173,0.89,1
